master_id,Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,Segment,interested_in_categories_12
0fe4cc5a-7989-11ea-bf74-000d3a38a36f,120,5,597.52,3,4,3,343,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
0fedd40a-5bd7-11ea-8ed7-000d3a38a36f,36,7,906.93,5,4,4,544,champions,"[ERKEK, KADIN, AKTIFSPOR]"
10199be8-7c9e-11ea-80af-000d3a38a36f,136,6,841.32,3,4,4,344,loyal_customers,"[ERKEK, KADIN]"
102ed1aa-d817-11ea-aee7-000d3a38a36f,80,6,626.43,4,4,3,443,loyal_customers,"[KADIN, AKTIFSPOR]"
1044d50a-abc6-11e9-a2fc-000d3a38a36f,106,9,842.23,4,5,4,454,loyal_customers,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
104b2874-da1f-11e9-93bc-000d3a38a36f,68,9,1185.89,4,5,5,455,loyal_customers,"[ERKEK, KADIN]"
10702b3a-a534-11e9-a2fc-000d3a38a36f,62,6,599.92,5,4,3,543,champions,"[ERKEK, KADIN]"
1076e198-af9b-11e9-a2fc-000d3a38a36f,128,5,297.96,3,4,1,341,loyal_customers,[KADIN]
10e1f13e-9f67-11e9-a2fc-000d3a38a36f,73,11,1345.78,4,5,5,455,loyal_customers,"[ERKEK, KADIN]"
10eafdec-1a9b-11ea-98d5-000d3a38a36f,99,10,1671.56,4,5,5,455,loyal_customers,"[COCUK, KADIN, AKTIFSPOR]"
11127778-a7cd-11e9-a2fc-000d3a38a36f,33,14,2201.88,5,5,5,555,champions,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
111a559c-b0d8-11e9-9757-000d3a38a36f,86,7,875.37,4,4,4,444,loyal_customers,[KADIN]
112246aa-3182-11ea-b884-000d3a38a36f,164,6,589.43,3,4,3,343,loyal_customers,"[KADIN, AKTIFSPOR]"
1148a72e-f102-11ea-bde9-000d3a38a36f,171,8,1586.3,3,5,5,355,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
118dc37e-a0c5-11e9-a2fc-000d3a38a36f,49,14,3396.3,5,5,5,555,champions,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
1192e466-9f2c-11e9-9897-000d3a38a36f,105,15,983.84,4,5,4,454,loyal_customers,[KADIN]
11f51fac-15ea-11ea-aa74-000d3a38a36f,154,9,1454.37,3,5,5,355,loyal_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
120c4322-adbb-11e9-a2fc-000d3a38a36f,69,15,2440.61,4,5,5,455,loyal_customers,[KADIN]
121ab022-d6ad-11e9-93bc-000d3a38a36f,162,11,1436.64,3,5,5,355,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
122c8e2c-1290-11ea-a001-000d3a38a36f,96,5,986.22,4,4,4,444,loyal_customers,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
125df420-b067-11e9-9757-000d3a38a36f,52,5,483.38,5,4,3,543,champions,"[ERKEK, KADIN]"
125e788a-b1a9-11e9-89fa-000d3a38a36f,70,7,998.42,4,4,4,444,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
127ce39e-5bed-11ea-aed3-000d3a38a36f,75,5,802.03,4,4,4,444,loyal_customers,"[KADIN, AKTIFSPOR]"
129577d6-bde2-11ea-aa61-000d3a38a36f,48,5,913.15,5,4,4,544,champions,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
129d25a6-b11f-11e9-9757-000d3a38a36f,66,5,451.93,4,4,2,442,loyal_customers,"[COCUK, KADIN]"
12d469b0-e213-11e9-957d-000d3a38a36f,58,7,1197.56,5,4,5,545,champions,[KADIN]
1300206e-acee-11e9-a2fc-000d3a38a36f,85,11,1709.69,4,5,5,455,loyal_customers,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
131dee0c-aa21-11e9-a2fc-000d3a38a36f,33,8,1322.95,5,5,5,555,champions,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
1329089c-6cf3-11ea-b576-000d3a38a36f,36,16,1388.12,5,5,5,555,champions,"[AKTIFCOCUK, KADIN, AKTIFSPOR]"
13301c22-ddfb-11e9-957d-000d3a38a36f,146,10,935.41,3,5,4,354,loyal_customers,"[ERKEK, KADIN]"
133da2c6-a8cb-11e9-a2fc-000d3a38a36f,52,9,1020.4,5,5,5,555,champions,"[ERKEK, COCUK, KADIN]"
1348781e-134b-11ea-a001-000d3a38a36f,45,8,3253.55,5,5,5,555,champions,[KADIN]
1349440e-9f4e-11e9-9897-000d3a38a36f,127,11,2058.76,3,5,5,355,loyal_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
135ba0d0-5bf6-11ea-b87f-000d3a38a36f,84,7,544.93,4,4,3,443,loyal_customers,[KADIN]
137cc030-ac29-11e9-a2fc-000d3a38a36f,141,9,1438.23,3,5,5,355,loyal_customers,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
139be856-ac57-11e9-a2fc-000d3a38a36f,33,7,1261.91,5,5,5,555,champions,"[KADIN, AKTIFSPOR]"
